id_mundial,tipo_premio,id_jugador,id_seleccion
23,Balón de Oro,,
23,Balón de Plata,,
23,Balón de Bronce,,
23,Botín de Oro,,
23,Botín de Plata,,
23,Botín de Bronce,,
22,Balón de Oro,5,
22,Balón de Plata,6,
22,Balón de Bronce,11,
22,Botín de Oro,6,
22,Botín de Plata,5,
22,Botín de Bronce,14,
21,Balón de Oro,11,
21,Balón de Plata,84,
21,Balón de Bronce,41,
21,Botín de Oro,25,
21,Botín de Plata,41,
21,Botín de Bronce,80,
20,Balón de Oro,5,
20,Balón de Plata,19,
20,Balón de Bronce,189,
20,Botín de Oro,22,
20,Botín de Plata,19,
20,Botín de Bronce,15,
19,Balón de Oro,51,
19,Balón de Plata,190,
19,Balón de Bronce,129,
19,Botín de Oro,19,
19,Botín de Plata,129,
19,Botín de Bronce,190,
18,Balón de Oro,35,
18,Balón de Plata,624,
18,Balón de Bronce,610,
18,Botín de Oro,1,
18,Botín de Plata,352,
18,Botín de Bronce,2,
17,Balón de Oro,699,
17,Balón de Plata,2,
17,Balón de Bronce,700,
17,Botín de Oro,2,
17,Botín de Plata,,
17,Botín de Bronce,,
16,Balón de Oro,2,
16,Balón de Plata,110,
16,Balón de Bronce,629,
16,Botín de Oro,110,
16,Botín de Plata,,
16,Botín de Bronce,,
15,Balón de Oro,350,
15,Balón de Plata,349,
15,Balón de Bronce,347,
15,Botín de Oro,346,
15,Botín de Plata,,
15,Botín de Bronce,,
14,Balón de Oro,342,
14,Balón de Plata,26,
14,Balón de Bronce,12,
14,Botín de Oro,342,
14,Botín de Plata,,
14,Botín de Bronce,,
13,Balón de Oro,12,
13,Balón de Plata,953,
13,Balón de Bronce,898,
13,Botín de Oro,150,
13,Botín de Plata,,
13,Botín de Bronce,,
12,Balón de Oro,337,
12,Balón de Plata,957,
12,Balón de Bronce,338,
12,Botín de Oro,337,
12,Botín de Plata,,
12,Botín de Bronce,,
11,Balón de Oro,,
11,Balón de Plata,,
11,Balón de Bronce,,
11,Botín de Oro,34,
11,Botín de Plata,,
11,Botín de Bronce,,
10,Balón de Oro,,
10,Balón de Plata,,
10,Balón de Bronce,,
10,Botín de Oro,334,
10,Botín de Plata,,
10,Botín de Bronce,,
9,Balón de Oro,,
9,Balón de Plata,,
9,Balón de Bronce,,
9,Botín de Oro,3,
9,Botín de Plata,,
9,Botín de Bronce,,
8,Balón de Oro,,
8,Balón de Plata,,
8,Balón de Bronce,,
8,Botín de Oro,24,
8,Botín de Plata,,
8,Botín de Bronce,,
7,Balón de Oro,,
7,Balón de Plata,,
7,Balón de Bronce,,
7,Botín de Oro,324,
7,Botín de Plata,,
7,Botín de Bronce,,
6,Balón de Oro,,
6,Balón de Plata,,
6,Balón de Bronce,,
6,Botín de Oro,4,
6,Botín de Plata,,
6,Botín de Bronce,,
5,Balón de Oro,,
5,Balón de Plata,,
5,Balón de Bronce,,
5,Botín de Oro,322,
5,Botín de Plata,,
5,Botín de Bronce,,
4,Balón de Oro,,
4,Balón de Plata,,
4,Balón de Bronce,,
4,Botín de Oro,86,
4,Botín de Plata,,
4,Botín de Bronce,,
3,Balón de Oro,,
3,Balón de Plata,,
3,Balón de Bronce,,
3,Botín de Oro,315,
3,Botín de Plata,,
3,Botín de Bronce,,
2,Balón de Oro,,
2,Balón de Plata,,
2,Balón de Bronce,,
2,Botín de Oro,312,
2,Botín de Plata,,
2,Botín de Bronce,,
1,Balón de Oro,,
1,Balón de Plata,,
1,Balón de Bronce,,
1,Botín de Oro,66,
1,Botín de Plata,,
1,Botín de Bronce,,
