anio,organizador,campeon,selecciones,partidos,goles,promedio_gol,url,fecha_scraping
2026,Canadá / Estados Unidos / México,,48,104 (0 ya jugados),0,0.00,https://www.losmundialesdefutbol.com/mundiales/2026_mundial.php,2026-03-16T22:22:31.799750
2022,Catar,Argentina,32,64,172,2.69,https://www.losmundialesdefutbol.com/mundiales/2022_mundial.php,2026-03-16T22:23:52.691674
1930,Uruguay,Uruguay,13,18,70,3.89,https://www.losmundialesdefutbol.com/mundiales/1930_mundial.php,2026-03-16T22:24:04.545912
1934,Italia,Italia,16,17,70,4.12,https://www.losmundialesdefutbol.com/mundiales/1934_mundial.php,2026-03-16T22:24:06.382588
1938,Francia,Italia,16,18,84,4.67,https://www.losmundialesdefutbol.com/mundiales/1938_mundial.php,2026-03-16T22:24:08.433297
1950,Brasil,Uruguay,13,22,88,4.00,https://www.losmundialesdefutbol.com/mundiales/1950_mundial.php,2026-03-16T22:24:10.071399
1954,Suiza,Alemania Occidental,16,26,140,5.38,https://www.losmundialesdefutbol.com/mundiales/1954_mundial.php,2026-03-16T22:24:12.229526
1958,Suecia,Brasil,16,35,126,3.60,https://www.losmundialesdefutbol.com/mundiales/1958_mundial.php,2026-03-16T22:24:13.873980
1962,Chile,Brasil,16,32,89,2.78,https://www.losmundialesdefutbol.com/mundiales/1962_mundial.php,2026-03-16T22:24:15.503565
1966,Inglaterra,Inglaterra,16,32,89,2.78,https://www.losmundialesdefutbol.com/mundiales/1966_mundial.php,2026-03-16T22:24:17.486995
1970,México,Brasil,16,32,95,2.97,https://www.losmundialesdefutbol.com/mundiales/1970_mundial.php,2026-03-16T22:24:19.403575
1974,Alemania Occidental,Alemania Occidental,16,38,97,2.55,https://www.losmundialesdefutbol.com/mundiales/1974_mundial.php,2026-03-16T22:24:21.748373
1978,Argentina,Argentina,16,38,102,2.68,https://www.losmundialesdefutbol.com/mundiales/1978_mundial.php,2026-03-16T22:24:23.799780
1982,España,Italia,24,52,146,2.81,https://www.losmundialesdefutbol.com/mundiales/1982_mundial.php,2026-03-16T22:24:24.722291
1986,México,Argentina,24,52,132,2.54,https://www.losmundialesdefutbol.com/mundiales/1986_mundial.php,2026-03-16T22:24:26.462118
1990,Italia,Alemania Occidental,24,52,115,2.21,https://www.losmundialesdefutbol.com/mundiales/1990_mundial.php,2026-03-16T22:24:28.404686
1994,Estados Unidos,Brasil,24,52,141,2.71,https://www.losmundialesdefutbol.com/mundiales/1994_mundial.php,2026-03-16T22:24:29.736945
1998,Francia,Francia,32,64,171,2.67,https://www.losmundialesdefutbol.com/mundiales/1998_mundial.php,2026-03-16T22:24:31.275303
2002,Corea / Japón,Brasil,32,64,161,2.52,https://www.losmundialesdefutbol.com/mundiales/2002_mundial.php,2026-03-16T22:24:33.226015
2006,Alemania,Italia,32,64,147,2.30,https://www.losmundialesdefutbol.com/mundiales/2006_mundial.php,2026-03-16T22:24:35.375474
2010,Sudáfrica,España,32,64,145,2.27,https://www.losmundialesdefutbol.com/mundiales/2010_mundial.php,2026-03-16T22:24:37.013317
2014,Brasil,Alemania,32,64,171,2.67,https://www.losmundialesdefutbol.com/mundiales/2014_mundial.php,2026-03-16T22:24:38.958736
2018,Rusia,Francia,32,64,169,2.64,https://www.losmundialesdefutbol.com/mundiales/2018_mundial.php,2026-03-16T22:24:41.013261
